,url,title,manual_labels
0,https://github.com/yeriomin/YalpStore/issues/10,Dark mode,[0]
1,https://github.com/rdoeffinger/Dictionary/issues/72,"Downloadmanager Message ""2 files are downloaded"" is not removed after error","[19, 5]"
2,https://github.com/hwki/SimpleBitcoinWidget/issues/11,coinbase showing wrong price,[]
3,https://github.com/ZeeRooo/MaterialFBook/issues/73,Notification for Messages,[5]
4,https://github.com/ZeeRooo/MaterialFBook/issues/57,Can't share article via share button,[]
5,https://github.com/ZeeRooo/MaterialFBook/issues/30,Battery drain,"[9, 7, 18]"
6,https://github.com/PaulWoitaschek/Voice/issues/569,App is devouring battery like there's no tomorrow.,"[15, 14, 18]"
7,https://github.com/PaulWoitaschek/Voice/issues/490,Exit application when playback timer expires,[2]
8,https://github.com/PaulWoitaschek/Voice/issues/446,Lock screen issue,[]
9,https://github.com/PaulWoitaschek/Voice/issues/423,Feature: Persistent sleep timer,[]
10,https://github.com/PaulWoitaschek/Voice/issues/411,Does faster playback speed use more battery?,[13]
11,https://github.com/PaulWoitaschek/Voice/issues/392,Play/Pause stopped working on the Pebble,[]
12,https://github.com/PaulWoitaschek/Voice/issues/391,Feature request: Disable bluetooth on sleep,[9]
13,https://github.com/PaulWoitaschek/Voice/issues/384,too much disk activity,"[18, 13]"
14,https://github.com/PaulWoitaschek/Voice/issues/355,Service remains active when not in use,"[21, 4, 14]"
15,https://github.com/PaulWoitaschek/Voice/issues/299,More intelligent file scanner,"[13, 6, 12]"
16,https://github.com/PaulWoitaschek/Voice/issues/215,High power usage during playback.,"[13, 12]"
17,https://github.com/PaulWoitaschek/Voice/issues/189,Empty database after a reboot,"[10, 2, 4]"
18,https://github.com/PaulWoitaschek/Voice/issues/78,Possible battery drain: App is running all the time.,"[15, 14, 18]"
19,https://github.com/jensstein/oandbackup/issues/133,sheduled backup stucks in the process,"[11, 9, 14]"
20,https://github.com/JusticeRage/ApkTrack/issues/106,"[Bug] ApkTrack 2.1.1b, 2.1.1c and 2.1.1d as built and distributed by F-Droid crash when entering ApkTrack's settings",[]
21,https://github.com/microg/android_packages_apps_UnifiedNlp/issues/33,Germany - only Apple WiFi backend works,[]
22,https://github.com/microg/android_packages_apps_UnifiedNlp/issues/26,f-droid version doesn't work out of the box on CM12,[]
23,https://github.com/microg/android_packages_apps_UnifiedNlp/issues/23,Unload the backends when not in use,"[12, 3]"
24,https://github.com/microg/android_packages_apps_UnifiedNlp/issues/22,UnifiedNlp not initializing location backend properly after reboot,[]
25,https://github.com/microg/android_packages_apps_UnifiedNlp/issues/11,Question: How to install UnifiedNlp on CM11 without gapps,[]
26,https://github.com/kraigs-android/kraigsandroid/issues/121,Alarm stops after about 15 minutes I think. Is there a way to make it last longer?,[]
