url,title,model_labels,manual_labels
https://github.com/yeriomin/YalpStore/issues/10,Dark mode,"[10, 2, 0]",[0]
https://github.com/rdoeffinger/Dictionary/issues/72,"Downloadmanager Message ""2 files are downloaded"" is not removed after error","[19, 5, 12]","[19, 5]"
https://github.com/ZeeRooo/MaterialFBook/issues/73,Notification for Messages,"[3, 15, 5]",[5]
https://github.com/ZeeRooo/MaterialFBook/issues/30,Battery drain,"[9, 7]","[9, 7, 18]"
https://github.com/PaulWoitaschek/Voice/issues/569,App is devouring battery like there's no tomorrow.,[18],"[15, 14, 18]"
https://github.com/PaulWoitaschek/Voice/issues/490,Exit application when playback timer expires,"[10, 8, 2]",[2]
https://github.com/PaulWoitaschek/Voice/issues/411,Does faster playback speed use more battery?,"[1, 13]",[13]
https://github.com/PaulWoitaschek/Voice/issues/391,Feature request: Disable bluetooth on sleep,[9],[9]
https://github.com/PaulWoitaschek/Voice/issues/384,too much disk activity,[18],"[18, 13]"
https://github.com/PaulWoitaschek/Voice/issues/355,Service remains active when not in use,"[4, 21, 19]","[21, 4, 14]"
https://github.com/PaulWoitaschek/Voice/issues/299,More intelligent file scanner,"[6, 13, 20]","[13, 6, 12]"
https://github.com/PaulWoitaschek/Voice/issues/215,High power usage during playback.,[13],"[13, 12]"
https://github.com/PaulWoitaschek/Voice/issues/189,Empty database after a reboot,"[10, 2]","[10, 2, 4]"
https://github.com/PaulWoitaschek/Voice/issues/78,Possible battery drain: App is running all the time.,"[13, 15]","[15, 14, 18]"
https://github.com/jensstein/oandbackup/issues/133,sheduled backup stucks in the process,"[11, 18, 2]","[11, 9, 14]"
https://github.com/microg/android_packages_apps_UnifiedNlp/issues/23,Unload the backends when not in use,"[21, 12, 19]","[12, 3]"
https://github.com/kraigs-android/kraigsandroid/issues/95,incompatibility with KitKat low-memory optimizations,"[12, 18, 2]","[12, 18, 2]"
https://github.com/kraigs-android/kraigsandroid/issues/78,[feature request] notification icon on the right,"[3, 5]",[5]
https://github.com/kraigs-android/kraigsandroid/issues/60,"Alarm fails except for tiny vibrate, screen backlight won't turn on, power consumption rockets","[10, 7, 2]","[2, 15]"
https://github.com/kraigs-android/kraigsandroid/issues/52,Disable alarm time out,"[2, 18, 8]","[2, 14]"
https://github.com/micolous/metrodroid/issues/26,LG G3 Mifare Classic read failure,"[18, 2, 8]",[13]
https://github.com/drpout/boilr/issues/140,Auto silence alarm after 10 mins,[],[2]
https://github.com/drpout/boilr/issues/131,Refresh prices per user request,"[1, 13, 14]","[21, 1, 13]"
https://github.com/drpout/boilr/issues/71,redesign triggered alarm pannel,[18],[0]
https://github.com/openbmap/radiocells-scanner-android/issues/175,Location Listener is not removed when user turns off GPS in the middle of scanning session,"[10, 15, 12]","[3, 18, 2]"
https://github.com/openbmap/radiocells-scanner-android/issues/124,Feature request: Permanent scan service,[3],"[3, 4]"
https://github.com/openbmap/radiocells-scanner-android/issues/105,wakelock kept - excessive battery use,"[13, 16, 15]","[15, 14, 18]"
https://github.com/openbmap/radiocells-scanner-android/issues/79,Option to disable battery saver,"[7, 8, 9]",[15]
https://github.com/openbmap/radiocells-scanner-android/issues/59,GPS is not released properly after logging,"[7, 10, 2]","[10, 2, 3]"
https://github.com/openbmap/radiocells-scanner-android/issues/54,Stop scanning on low battery,"[19, 10, 2]",[7]
https://github.com/Marlinski/Rumble/issues/3,Devices not discoverable under Android Wi-fi Hotspot,"[10, 2, 9]",[9]
https://github.com/ubergeek42/weechat-android/issues/194,High battery usage (higher than the screen!),[],"[15, 14, 18]"
https://github.com/ubergeek42/weechat-android/issues/73,User enabled background notification system,"[5, 15]","[5, 14]"
https://github.com/ubergeek42/weechat-android/issues/41,excessive communication,[18],[12]
https://github.com/ubergeek42/weechat-android/issues/13,Better connection/disconnection handling,"[5, 14, 6]","[6, 4, 8]"
https://github.com/ubergeek42/weechat-android/issues/7,Custom notification options,"[5, 3]",[5]
https://github.com/n76/wifi_backend/issues/37,WiFi Location Service and Android 6.0.1,[15],[15]
https://github.com/n76/wifi_backend/issues/1,High battery consumption even though location is disabled,"[15, 16, 6]","[15, 16, 6]"
https://github.com/nextgis/android_gisapp/issues/209,Settings: turn off geolocation,"[10, 8, 2]","[14, 2]"
https://github.com/pot8oe/mythmote/issues/82,Mythmote consistently disconnects,"[11, 10, 2]",[1]
https://github.com/pot8oe/mythmote/issues/27,Changing the aspect of phone restarts connection process and causes 11 second pause ,[1],[1]
https://github.com/daktak/xposed_downloader/issues/17,"Black theme ""AMOLED""",[0],[0]
https://github.com/fixme-lausanne/MyHackerspace/issues/33,Quite high battery usage,[],"[15, 14, 18]"
https://github.com/mozilla/MozStumbler/issues/1724, The MLS android app abruptly stops generating reports even though the GPS is set.,"[9, 10, 2]",[2]
https://github.com/mozilla/MozStumbler/issues/1664,A way to force unpause?,"[19, 2, 18]",[19]
https://github.com/mozilla/MozStumbler/issues/1490,Accelerometer Motion sensor gaps in scanning,"[18, 17, 7]","[17, 16, 7]"
https://github.com/mozilla/MozStumbler/issues/1449,Motion Sensing V2 Planning,[],"[17, 16, 7]"
https://github.com/mozilla/MozStumbler/issues/1415,Accelerometer not working with screen off,"[7, 10, 2]",[19]
